,city_name,Country,First Administration,Second Administration,latitude (degree),longitude (degree),elevation (m),dist_to_sea (km),mean_temp (Celsius),mean_solarradiation (W/m2),mean_humidity (%),mean_windspeed (kph),mean_temp_index,mean_humid_index,mean_wind_index,temp_std (Celsius),mean_temp_range (Celsius),mean_abs_temp_diff_1 (Celsius),precip_std (mm),precip_sum (mm),temp precip corr,humid radiat corr,humid precip corr,temp radiat corr,Koppen climate,Color Code,Climate Names,Group,Precipitation Type,Level of Heat
0,Aberdeen,United Kingdom,Scotland,Aberdeen City,57.1482429,-2.0928095,22.87474251,1.934849019,9.419,171.136,81.597,27.954,0.467219973,0.000382743,0.010231906,4.155,4.898,1.265,4.193,713.225,-0.02,-0.113,0.219,0.36,Cfb,#005000,Temperate oceanic climate,Temperate,Without dry season,Warm summer
1,Abidjan,Cote d'Ivoire,Abidjan Autonomous District,Abidjan,5.3599517,-4.0082563,52.02287674,4.432545052,27.015,242.933,88.378,21.382,0.558914119,2.22e-05,0.014601511,1.395,5.109,0.557,16.373,2005.336,-0.193,-0.148,0.216,0.319,Am,#FF0000,Tropical monsoon climate,Tropical,Monsoon,
2,Abu Dhabi,United Arab Emirates,Abu Dhabi,Abu Dhabi,24.4538352,54.3774014,1.803915024,1.233745566,29.415,262.481,55.826,22.322,0.562513053,0.018990698,0.016903927,5.502,9.365,0.883,0.671,36.8,-0.166,-0.417,0.161,0.617,BWh,#FFCC00,Hot deserts climate,Arid,Desert,Hot
3,Abuja,Nigeria,Federal Capital Territory,Abuja Municipal Area Council,9.0764785,7.398574,455.5245361,380.400377,26.879,234.493,65.115,19.437,0.741447911,0.01067396,0.040749537,2.235,11.309,0.784,26.969,3187.7,-0.023,-0.554,-0.17,0.718,Aw,#FFCCCC,"Tropical savanna, wet",Tropical,"Savanna, Wet",
4,Accra,Ghana,Greater Accra Region,Accra Metropolis,5.6037168,-0.1869644,56.57720566,5.454339669,27.231,247.577,80.17,25.285,0.568283441,0.000994212,0.009004808,1.549,5.699,0.481,10.919,1070.15,-0.189,-0.266,0.202,0.346,Aw,#FFCCCC,"Tropical savanna, wet",Tropical,"Savanna, Wet",
5,Addis Ababa,Ethiopia,Addis Ababa,Addis Ababa,9.0107934,38.7612525,2339.211182,452.5544016,16.979,247.638,59.598,24.596,1.12397118,0.016882038,0.01164826,1.663,10.765,0.58,3.74,544.6,-0.192,-0.599,0.423,0.38,Cwb,#8C8C00,Subtropical highland climate or temperate oceanic climate with dry winters,Temperate,Dry winter,Warm summer
6,Adelaide,Australia,South Australia,Adelaide,-34.9281805,138.5999312,44.71621704,10.31905128,15.405,189.378,69.804,23.511,0.874798993,0.007035125,0.012731474,4.841,7.622,1.685,3.317,556.717,-0.166,-0.576,0.346,0.624,Csb,#00D700,Warm-summer Mediterranean climate,Temperate,Dry summer,Warm summer
7,Albuquerque,United States,New Mexico,Bernalillo County,35.0841034,-106.650985,1510.123535,750.7037607,14.438,370.696,39.651,29.475,0.670098798,0.019256619,0.012813188,9.443,12.968,1.751,2.693,230.685,0.061,-0.601,0.353,0.648,BSk,#CCAA54,Cold semi-arid (steppe) climate,Arid,Steppe,Cold
8,Algiers,Algeria,Algiers Province,Algiers [El Djazaïr],36.7753606,3.0601882,10.44936371,0.630209524,19.68,216.34,69.448,22.993,0.893475837,0.005992686,0.019493416,6.06,11.496,1.2,3.808,378.672,-0.222,-0.115,0.283,0.61,Csa,#96FF00,Hot-summer Mediterranean climate,Temperate,Dry summer,Hot summer
9,Alice Springs,Australia,Northern Territory,Northern Territory,-23.6983884,133.8812885,582.1600952,821.7797074,20.604,249.317,45.175,24.584,0.864944093,0.019984991,0.010570522,7.051,15.457,2.032,4.957,375.6,0.066,-0.549,0.455,0.575,BWh,#FFCC00,Hot deserts climate,Arid,Desert,Hot
10,Almaty,Kazakhstan,Almaty Province,Karasay District,43.2363924,76.9457275,887.62146,2053.181721,11.548,185.627,61.336,17.179,0.60549867,0.013678213,0.043356105,11.354,11.333,1.83,4.9,751.313,-0.072,-0.794,0.264,0.815,Dfa,#550055,Hot-summer humid continental climate,Cold (continental),Without dry season,Hot summer
