date, pm25, o3, no2, co
2023/4/2, 33, , 6, 1
2023/4/3, 21, , 13, 2
2023/4/4, 35, , 6, 2
2023/4/5, 34, , 9, 2
2023/4/6, 39, , 6, 1
2023/4/7, 30, , 6, 1
2023/4/8, 23, , 9, 2
2023/4/9, 26, , 11, 2
2023/4/10, 36, , 18, 2
2023/4/11, 41, , 27, 2
2023/4/12, 53, , , 
2023/1/3, 52, , 9, 3
2023/1/4, 40, , 10, 4
2023/1/5, 34, , 14, 4
2023/1/6, 39, , 8, 3
2023/1/7, 39, , 8, 3
2023/1/8, 36, , 8, 3
2023/1/9, 32, , 6, 3
2023/1/10, 47, , 9, 3
2023/1/11, 41, , 10, 3
2023/1/12, 45, , 12, 4
2023/1/13, 44, , 7, 3
2023/1/14, 34, , 12, 4
2023/1/15, 40, , 17, 5
2023/1/16, 45, , 14, 4
2023/1/17, 37, , 18, 3
2023/1/18, 40, , 8, 2
2023/1/19, 39, , 10, 2
2023/1/20, 27, , 6, 1
2023/1/21, 36, , 8, 1
2023/1/22, 32, , 8, 2
2023/1/23, 35, , 8, 2
2023/1/24, 38, , 7, 2
2023/1/25, 43, , 11, 2
2023/1/26, 25, , 5, 2
2023/1/27, 33, , 6, 2
2023/1/28, 31, , 2, 2
2023/1/29, 40, , 4, 2
2023/1/30, 34, , 5, 1
2023/1/31, 26, , 10, 2
2023/2/1, 30, , 9, 2
2023/2/2, 45, , 7, 2
2023/2/3, 56, , 5, 1
2023/2/4, 31, , 7, 2
2023/2/5, 32, , 6, 2
2023/2/6, 36, , 10, 2
2023/2/7, 62, , 14, 2
2023/2/8, 58, , 11, 2
2023/2/9, 69, , 15, 3
2023/2/10, 61, , 4, 2
2023/2/11, 28, , 5, 1
2023/2/12, 23, , 16, 2
2023/2/13, 59, , 19, 4
2023/2/14, 67, , 20, 3
2023/2/15, 68, , 6, 2
2023/2/16, 38, , 7, 2
2023/2/17, 42, , 7, 2
2023/2/18, 33, , 5, 1
2023/2/19, 37, , 10, 2
2023/2/20, 33, , 11, 2
2023/2/21, 47, , 12, 2
2023/2/22, 57, , 8, 2
2023/2/23, 37, , 9, 
2023/2/24, 40, , 7, 2
2023/2/25, 35, , 8, 2
2023/2/26, 50, , 6, 2
2023/2/27, 65, , 14, 3
2023/2/28, 51, , 8, 2
2023/3/1, 40, , 18, 3
2023/3/2, 50, , 14, 3
2023/3/3, 80, , 12, 3
2023/3/4, 56, , 6, 2
2023/3/5, 33, , 11, 3
2023/3/6, 59, , 19, 4
2023/3/7, 67, , 8, 2
2023/3/8, 27, , 11, 2
2023/3/9, 27, , 15, 2
2023/3/10, 30, , 6, 2
2023/3/11, 28, , 7, 2
2023/3/12, 19, , 5, 2
2023/3/13, 30, , 14, 3
2023/3/14, 61, , 7, 2
2023/3/15, 27, , 9, 2
2023/3/16, 27, , 14, 2
2023/3/17, 54, , 8, 1
2023/3/18, 40, , 3, 1
2023/3/19, 36, , 3, 1
2023/3/20, 25, , 8, 1
2023/3/21, 37, , 11, 2
2023/3/22, 53, , 18, 2
2023/3/23, 54, , 14, 2
2023/3/24, 45, , 10, 2
2023/3/25, 26, , 3, 1
2023/3/26, 26, , 6, 1
2023/3/27, 32, , 9, 2
2023/3/28, 28, , 14, 2
2023/3/29, 39, , 12, 2
2023/3/30, 42, , 13, 2
2023/3/31, 25, , 15, 2
2023/4/1, 37, , 4, 1
2022/10/2, 27, , 2, 2
2022/10/3, 21, , 6, 2
2022/10/4, 29, , 12, 3
2022/10/5, 34, , 16, 4
2022/10/6, 40, , 19, 3
2022/10/7, 41, , 7, 2
2022/10/8, 22, , 4, 2
2022/10/9, 17, , 3, 2
2022/10/10, 26, , 11, 2
2022/10/11, 37, , 16, 3
2022/10/12, 39, , 11, 2
2022/10/13, 40, , 8, 2
2022/10/14, 19, , 9, 2
2022/10/15, 22, , 3, 2
2022/10/16, 26, , 8, 2
2022/10/17, 25, , 8, 2
2022/10/18, 27, , 5, 2
2022/10/19, 18, , 6, 2
2022/10/20, 19, , 6, 2
2022/10/21, 32, , 16, 3
2022/10/22, 41, , 9, 3
2022/10/23, 55, , 6, 2
2022/10/24, 54, , 10, 2
2022/10/25, 40, , 13, 3
2022/10/26, 43, , 10, 2
2022/10/27, 36, , 8, 2
2022/10/28, 33, , 10, 3
2022/10/29, 35, , 13, 4
2022/10/30, 44, , 15, 5
2022/10/31, 52, , 16, 3
2022/11/1, 48, , 8, 2
2022/11/2, 55, , 11, 3
2022/11/3, 64, , 19, 5
2022/11/4, 60, , 16, 4
2022/11/5, 48, , 4, 1
2022/11/6, 30, , 5, 1
2022/11/7, 33, , 6, 1
2022/11/8, 36, , 9, 2
2022/11/9, 29, , 16, 3
2022/11/10, 26, , 16, 3
2022/11/11, 50, , 12, 3
2022/11/12, 31, , 5, 2
2022/11/13, 38, , 4, 1
2022/11/14, 26, , 9, 2
2022/11/15, 31, , 6, 1
2022/11/16, 25, , , 
2022/11/17, 27, , 6, 2
2022/11/18, 24, , 5, 2
2022/11/19, 29, , 4, 1
2022/11/20, 26, , 4, 1
2022/11/21, 28, , 10, 2
2022/11/22, 32, , 19, 3
2022/11/23, 55, , 28, 5
2022/11/24, 77, , 30, 5
2022/11/25, 70, , 10, 2
2022/11/26, 41, , 8, 1
2022/11/27, 34, , 13, 2
2022/11/28, 34, , 9, 1
2022/11/29, 35, , 11, 2
2022/11/30, 39, , 5, 1
2022/12/1, 37, , 7, 1
2022/12/2, 37, , 12, 2
2022/12/3, 33, , 3, 1
2022/12/4, 34, , 4, 1
2022/12/5, 30, , 14, 2
2022/12/6, 33, , 10, 2
2022/12/7, 46, , 17, 3
2022/12/8, 58, , 11, 1
2022/12/9, 39, , 3, 
2022/12/10, 30, , 3, 
2022/12/11, 34, , 11, 1
2022/12/12, 47, , 3, 
2022/12/13, 36, , 17, 3
2022/12/14, 37, , 14, 3
2022/12/15, 37, , 4, 1
2022/12/16, 22, , 12, 2
2022/12/17, 40, , 10, 2
2022/12/18, 38, , 6, 2
2022/12/19, 42, , 5, 1
2022/12/20, 37, , 16, 2
2022/12/21, 37, , 19, 3
2022/12/22, 66, , 12, 2
2022/12/23, 52, , 8, 2
2022/12/24, 33, , 2, 2
2022/12/25, 22, , 3, 2
2022/12/26, 6, , 8, 2
2022/12/27, 28, , 11, 3
2022/12/28, 45, , 15, 3
2022/12/29, 43, , 19, 3
2022/12/30, 45, , 22, 4
2022/12/31, 54, , 19, 4
2023/1/1, 43, , 7, 3
2023/1/2, 47, , 11, 3
2022/7/2, 54, , 4, 1
2022/7/3, 39, , 6, 2
2022/7/4, 28, , 8, 2
2022/7/5, 77, , 9, 1
2022/7/6, 53, , 6, 1
2022/7/7, 25, , 6, 1
2022/7/8, 28, , 8, 1
2022/7/9, 37, , 1, 
2022/7/10, 24, , 3, 1
2022/7/11, 40, , 8, 1
2022/7/12, 44, , 6, 1
2022/7/13, 35, , 9, 1
2022/7/14, 34, , 9, 1
2022/7/15, 37, , 10, 1
2022/7/16, 38, , 4, 1
2022/7/17, 43, , 5, 
2022/7/18, 47, , 5, 
2022/7/19, 27, , 6, 1
2022/7/20, 43, , , 
2022/7/21, 43, , 5, 1
2022/7/22, 43, , 9, 2
2022/7/23, 41, , 5, 1
2022/7/24, 30, , 4, 1
2022/7/25, 40, , 7, 1
2022/7/26, 22, , 12, 1
2022/7/27, 20, , 11, 1
2022/7/28, 32, , 6, 1
2022/7/29, 35, , 7, 1
2022/7/30, 25, , 4, 1
2022/7/31, 21, , 7, 1
2022/8/1, 24, , 8, 1
2022/8/2, 37, , 6, 1
2022/8/3, 27, , 9, 1
2022/8/4, 31, , 9, 1
2022/8/5, 34, , , 
2022/8/6, 38, , , 
2022/8/7, 30, , , 
2022/8/8, 41, , 5, 1
2022/8/9, 33, , 6, 1
2022/8/10, 23, , 8, 1
2022/8/11, 24, , 12, 1
2022/8/12, 23, , 10, 1
2022/8/13, 25, 395, 8, 1
2022/8/14, 39, , , 
2022/8/15, 32, , 3, 
2022/8/16, 26, , 9, 1
2022/8/17, 31, , 12, 1
2022/8/18, 27, , 11, 2
2022/8/19, 33, , 13, 2
2022/8/20, 39, , 6, 2
2022/8/21, 57, , 5, 1
2022/8/22, 33, , 9, 1
2022/8/23, 21, , 8, 1
2022/8/24, 36, , 11, 2
2022/8/25, 54, , 9, 1
2022/8/26, 69, , 11, 2
2022/8/27, 52, , 3, 1
2022/8/28, 20, , 7, 2
2022/8/29, 34, , 7, 1
2022/8/30, 37, , 8, 1
2022/8/31, 25, , 3, 1
2022/9/1, 26, , 8, 1
2022/9/2, 17, , 6, 
2022/9/3, 27, , 7, 1
2022/9/4, 42, , 5, 1
2022/9/5, 34, , 1, 
2022/9/6, 13, , 2, 
2022/9/7, 21, , 5, 
2022/9/8, 15, , 9, 1
2022/9/9, 29, , 7, 
2022/9/10, 40, , 7, 
2022/9/11, 36, , 3, 
2022/9/12, 22, , 6, 
2022/9/13, 20, , 8, 
2022/9/14, 25, , 8, 2
2022/9/15, 35, , 3, 1
2022/9/16, 21, , 9, 2
2022/9/17, 43, , 8, 3
2022/9/18, 58, , 7, 3
2022/9/19, 55, , 8, 2
2022/9/20, 40, , 9, 3
2022/9/21, 37, , 10, 3
2022/9/22, 41, , 5, 2
2022/9/23, 18, , 7, 2
2022/9/24, 17, , 7, 2
2022/9/25, 30, , 4, 2
2022/9/26, 29, , 6, 2
2022/9/27, 15, , 4, 2
2022/9/28, 19, , 7, 2
2022/9/29, 19, , 6, 2
2022/9/30, 24, , 4, 2
2022/10/1, 28, , 3, 2
2022/4/2, 16, , , 
2022/4/3, 21, , , 
2022/4/4, 31, , , 
2022/4/5, 33, , , 
